通番,英単語,日本語訳,品詞
372,afternoon,ごご,名詞
373,night,よる,名詞
374,today,きょう,名詞
375,yesterday,きのう,名詞
376,tomorrow,あした,名詞
377,clock,とけい,名詞
378,watch,うでどけい,名詞
379,date,ひづけ,名詞
380,Monday,げつようび,名詞
381,Tuesday,かようび,名詞
382,Wednesday,すいようび,名詞
383,Thursday,もくようび,名詞
384,Friday,きんようび,名詞
385,Saturday,どようび,名詞
386,Sunday,にちようび,名詞
387,holiday,きゅうじつ,名詞
388,weekend,しゅうまつ,名詞
389,weekday,へいじつ,名詞
390,season,きせつ,名詞
391,spring,はる,名詞
392,summer,なつ,名詞
393,fall,あき,名詞
394,autumn,あき,名詞
395,winter,ふゆ,名詞
396,New Year's Day,しょうがつ,名詞
397,summer festival,なつまつり,名詞
398,Halloween,ハロウィン,名詞
399,Christmas,クリスマス,名詞
400,New Year's Eve,おおみそか,名詞
401,January,いちがつ,名詞
402,February,にがつ,名詞
403,March,さんがつ,名詞
404,April,しがつ,名詞
405,May,ごがつ,名詞
406,June,ろくがつ,名詞
407,July,しちがつ,名詞
408,August,はちがつ,名詞
409,September,くがつ,名詞
410,October,じゅうがつ,名詞
411,November,じゅういちがつ,名詞
412,December,じゅうにがつ,名詞
413,calendar,カレンダー,名詞
414,birthday,たんじょうび,名詞
415,plan,よてい,名詞
416,travel,りょこう,名詞
417,vacation,やすみ,名詞
418,fireworks,はなび,名詞
419,camp,キャンプ,名詞
420,amusement park,ゆうえんち,名詞
421,world,せかい,名詞
422,country,くに,名詞
423,Japan,にほん,名詞
424,Korea,かんこく,名詞
425,China,ちゅうごく,名詞
426,India,インド,名詞
427,America,アメリカ,名詞
428,Canada,カナダ,名詞
429,Mexico,メキシコ,名詞
430,Brazil,ブラジル,名詞
431,Australia,オーストラリア,名詞
432,Russia,ロシア,名詞
433,the UK,イギリス,名詞
434,France,フランス,名詞
435,Germany,ドイツ,名詞
436,Italy,イタリア,名詞
437,Spain,スペイン,名詞
438,Asia,アジア,名詞
439,Africa,アフリカ,名詞
440,Europe,ヨーロッパ,名詞
441,good,いい,形容詞
442,bad,わるい,形容詞
443,right,みぎ,形容詞
444,left,ひだり,形容詞
445,new,あたらしい,形容詞
446,old,ふるい,形容詞
447,big,おおきい,形容詞
448,small,ちいさい,形容詞
449,long,ながい,形容詞
450,short,みじかい,形容詞
451,clean,きれい,形容詞
452,dirty,きたない,形容詞
453,hungry,おなかがすいた,形容詞
454,full,おなかがいっぱい,形容詞
455,happy,うれしい,形容詞
456,sad,かなしい,形容詞
457,free,ひまな,形容詞
458,busy,いそがしい,形容詞
459,early,はやい,形容詞
460,late,おそい,形容詞
461,light,あかるい,形容詞
462,dark,くらい,形容詞
463,wet,ぬれた,形容詞
464,dry,かわいた,形容詞
465,hot,あつい,形容詞
466,cold,さむい,形容詞
467,hard,かたい,形容詞
468,soft,やわらかい,形容詞
469,fast,はやい,形容詞
470,slow,おそい,形容詞
471,rich,おかねもちの,形容詞
472,poor,びんぼうな,形容詞
473,go,いく,動詞
474,come,くる,動詞
475,start,はじめる,動詞
476,finish,おえる,動詞
477,open,あける,動詞
478,close,しめる,動詞
479,buy,かう,動詞
480,sell,うる,動詞
